
[Name]
SS304 At Air Outlet Flange

[Spatial Fields]
x, y, z

[Data]
x [ in ], y [ in ], z [ in ], Temperature [ F ]
1.20000000e+001, 8.40000000e+001, -7.00000000e+001, 4.55786499e+002
1.20625010e+001, 8.40000000e+001, -7.00000000e+001, 4.54226929e+002
1.20625010e+001, 8.39583359e+001, -7.00000000e+001, 4.55828522e+002
1.20000000e+001, 8.39583359e+001, -7.00000000e+001, 4.57316895e+002
1.20000000e+001, 8.40624924e+001, -7.00000000e+001, 4.53808563e+002
1.20625010e+001, 8.40624924e+001, -7.00000000e+001, 4.51704651e+002
1.19837942e+001, 8.40000000e+001, -7.00000000e+001, 4.56037750e+002
1.19837942e+001, 8.40624924e+001, -7.00000000e+001, 4.54296204e+002
1.20000000e+001, 8.39166641e+001, -7.00000000e+001, 4.58816315e+002
1.20625010e+001, 8.39166641e+001, -7.00000000e+001, 4.57359680e+002
1.20625010e+001, 8.38750000e+001, -7.00000000e+001, 4.58818054e+002
1.20000000e+001, 8.38750000e+001, -7.00000000e+001, 4.60260345e+002
1.20625010e+001, 8.35703735e+001, -7.00000000e+001, 4.67268250e+002
1.20000000e+001, 8.35703735e+001, -7.00000000e+001, 4.68668365e+002
1.21250000e+001, 8.40000000e+001, -7.00000000e+001, 4.51896912e+002
1.21250000e+001, 8.39583359e+001, -7.00000000e+001, 4.53608398e+002
1.21250000e+001, 8.40624924e+001, -7.00000000e+001, 4.49055847e+002
1.24374990e+001, 8.40000000e+001, -7.00000000e+001, 4.30013519e+002
1.24374990e+001, 8.39583359e+001, -7.00000000e+001, 4.31504456e+002
1.24374990e+001, 8.40624924e+001, -7.00000000e+001, 4.27670349e+002
1.21250000e+001, 8.39166641e+001, -7.00000000e+001, 4.55200714e+002
1.21250000e+001, 8.38750000e+001, -7.00000000e+001, 4.56695557e+002
1.24374990e+001, 8.39166641e+001, -7.00000000e+001, 4.32939209e+002
1.24374990e+001, 8.38750000e+001, -7.00000000e+001, 4.34319489e+002
1.21250000e+001, 8.35703735e+001, -7.00000000e+001, 4.65195892e+002
1.24374990e+001, 8.35703735e+001, -7.00000000e+001, 4.42823029e+002
1.17222319e+001, 8.40000000e+001, -7.00000000e+001, 4.62522919e+002
1.16250000e+001, 8.40000000e+001, -7.00000000e+001, 4.64674713e+002
1.16250000e+001, 8.40624924e+001, -7.00000000e+001, 4.63287811e+002
1.17222319e+001, 8.40624924e+001, -7.00000000e+001, 4.61161133e+002
1.12120533e+001, 8.40000000e+001, -7.00000000e+001, 4.71176849e+002
1.12120533e+001, 8.40624924e+001, -7.00000000e+001, 4.69832916e+002
1.19628620e+001, 8.40000000e+001, -7.00000000e+001, 4.56466217e+002
1.19628620e+001, 8.40624924e+001, -7.00000000e+001, 4.54905884e+002
1.19358234e+001, 8.40000000e+001, -7.00000000e+001, 4.57113922e+002
1.19358234e+001, 8.40624924e+001, -7.00000000e+001, 4.55674377e+002
1.19008970e+001, 8.40000000e+001, -7.00000000e+001, 4.58016998e+002
1.19008970e+001, 8.40624924e+001, -7.00000000e+001, 4.56644196e+002
1.18557816e+001, 8.40000000e+001, -7.00000000e+001, 4.59205231e+002
1.18557816e+001, 8.40624924e+001, -7.00000000e+001, 4.57858459e+002
1.17975063e+001, 8.40000000e+001, -7.00000000e+001, 4.60701935e+002
1.17975063e+001, 8.40624924e+001, -7.00000000e+001, 4.59354858e+002
-1.10870543e+001, 8.40000000e+001, -7.00000000e+001, 4.47421722e+002
-1.15000010e+001, 8.40000000e+001, -7.00000000e+001, 4.40562958e+002
-1.15000010e+001, 8.40624924e+001, -7.00000000e+001, 4.39387360e+002
-1.10870543e+001, 8.40624924e+001, -7.00000000e+001, 4.46254913e+002
-1.15983181e+001, 8.40000000e+001, -7.00000000e+001, 4.38491333e+002
-1.15983181e+001, 8.40624924e+001, -7.00000000e+001, 4.37351318e+002
1.07991076e+001, 8.40000000e+001, -7.00000000e+001, 4.75389252e+002
1.07991076e+001, 8.40624924e+001, -7.00000000e+001, 4.74076813e+002
1.03861609e+001, 8.40000000e+001, -7.00000000e+001, 4.77979919e+002
1.03861609e+001, 8.40624924e+001, -7.00000000e+001, 4.76702118e+002
9.97321415e+000, 8.40000000e+001, -7.00000000e+001, 4.79363312e+002
9.97321415e+000, 8.40624924e+001, -7.00000000e+001, 4.78122742e+002
9.56026745e+000, 8.40000000e+001, -7.00000000e+001, 4.79884613e+002
9.56026745e+000, 8.40624924e+001, -7.00000000e+001, 4.78678314e+002
9.14732170e+000, 8.40000000e+001, -7.00000000e+001, 4.79808044e+002
9.14732170e+000, 8.40624924e+001, -7.00000000e+001, 4.78631409e+002
8.73437500e+000, 8.40000000e+001, -7.00000000e+001, 4.79318390e+002
8.73437500e+000, 8.40624924e+001, -7.00000000e+001, 4.78166351e+002
8.32142830e+000, 8.40000000e+001, -7.00000000e+001, 4.78537933e+002
8.32142830e+000, 8.40624924e+001, -7.00000000e+001, 4.77405670e+002
7.90848207e+000, 8.40000000e+001, -7.00000000e+001, 4.77545959e+002
7.90848207e+000, 8.40624924e+001, -7.00000000e+001, 4.76429535e+002
7.49553585e+000, 8.40000000e+001, -7.00000000e+001, 4.76391968e+002
7.49553585e+000, 8.40624924e+001, -7.00000000e+001, 4.75288055e+002
7.08258915e+000, 8.40000000e+001, -7.00000000e+001, 4.75105682e+002
7.08258915e+000, 8.40624924e+001, -7.00000000e+001, 4.74011658e+002
6.66964245e+000, 8.40000000e+001, -7.00000000e+001, 4.73699310e+002
6.66964245e+000, 8.40624924e+001, -7.00000000e+001, 4.72612885e+002
6.25669622e+000, 8.40000000e+001, -7.00000000e+001, 4.72170471e+002
6.25669622e+000, 8.40624924e+001, -7.00000000e+001, 4.71089752e+002
5.84374952e+000, 8.40000000e+001, -7.00000000e+001, 4.70503723e+002
5.84374952e+000, 8.40624924e+001, -7.00000000e+001, 4.69427399e+002
5.43080330e+000, 8.40000000e+001, -7.00000000e+001, 4.68670563e+002
5.43080330e+000, 8.40624924e+001, -7.00000000e+001, 4.67597626e+002
5.01785707e+000, 8.40000000e+001, -7.00000000e+001, 4.66630066e+002
5.01785707e+000, 8.40624924e+001, -7.00000000e+001, 4.65561096e+002
4.60491037e+000, 8.40000000e+001, -7.00000000e+001, 4.64337311e+002
4.60491037e+000, 8.40624924e+001, -7.00000000e+001, 4.63273834e+002
4.19196415e+000, 8.40000000e+001, -7.00000000e+001, 4.61744812e+002
4.19196415e+000, 8.40624924e+001, -7.00000000e+001, 4.60690399e+002
3.77901769e+000, 8.40000000e+001, -7.00000000e+001, 4.58816254e+002
3.77901769e+000, 8.40624924e+001, -7.00000000e+001, 4.57777496e+002
3.36607146e+000, 8.40000000e+001, -7.00000000e+001, 4.55547760e+002
3.36607146e+000, 8.40624924e+001, -7.00000000e+001, 4.54536407e+002
2.95312476e+000, 8.40000000e+001, -7.00000000e+001, 4.52020538e+002
2.95312476e+000, 8.40624924e+001, -7.00000000e+001, 4.51054901e+002
2.54017830e+000, 8.40000000e+001, -7.00000000e+001, 4.48481903e+002
2.54017830e+000, 8.40624924e+001, -7.00000000e+001, 4.47582245e+002
2.12723207e+000, 8.40000000e+001, -7.00000000e+001, 4.45415741e+002
2.12723207e+000, 8.40624924e+001, -7.00000000e+001, 4.44570557e+002
1.71428561e+000, 8.40000000e+001, -7.00000000e+001, 4.43185333e+002
1.71428561e+000, 8.40624924e+001, -7.00000000e+001, 4.42369843e+002
1.30133927e+000, 8.40000000e+001, -7.00000000e+001, 4.41853424e+002
1.30133927e+000, 8.40624924e+001, -7.00000000e+001, 4.41049042e+002
8.88392806e-001, 8.40000000e+001, -7.00000000e+001, 4.41423523e+002
8.88392806e-001, 8.40624924e+001, -7.00000000e+001, 4.40624420e+002
4.75446343e-001, 8.40000000e+001, -7.00000000e+001, 4.41945221e+002
4.75446343e-001, 8.40624924e+001, -7.00000000e+001, 4.41122437e+002
6.24998994e-002, 8.40000000e+001, -7.00000000e+001, 4.43143707e+002
6.24998994e-002, 8.40624924e+001, -7.00000000e+001, 4.42286377e+002
-3.50446522e-001, 8.40000000e+001, -7.00000000e+001, 4.44712830e+002
-3.50446522e-001, 8.40624924e+001, -7.00000000e+001, 4.43824860e+002
-7.63392925e-001, 8.40000000e+001, -7.00000000e+001, 4.46455536e+002
-7.63392925e-001, 8.40624924e+001, -7.00000000e+001, 4.45542908e+002
-1.17633939e+000, 8.40000000e+001, -7.00000000e+001, 4.48251923e+002
-1.17633939e+000, 8.40624924e+001, -7.00000000e+001, 4.47318573e+002
-1.58928585e+000, 8.40000000e+001, -7.00000000e+001, 4.50027191e+002
-1.58928585e+000, 8.40624924e+001, -7.00000000e+001, 4.49075348e+002
-2.00223231e+000, 8.40000000e+001, -7.00000000e+001, 4.51732697e+002
-2.00223231e+000, 8.40624924e+001, -7.00000000e+001, 4.50764923e+002
-2.41517854e+000, 8.40000000e+001, -7.00000000e+001, 4.53341888e+002
-2.41517854e+000, 8.40624924e+001, -7.00000000e+001, 4.52361664e+002
-2.82812500e+000, 8.40000000e+001, -7.00000000e+001, 4.54846130e+002
-2.82812500e+000, 8.40624924e+001, -7.00000000e+001, 4.53856079e+002
-3.24107146e+000, 8.40000000e+001, -7.00000000e+001, 4.56243530e+002
-3.24107146e+000, 8.40624924e+001, -7.00000000e+001, 4.55245361e+002
-3.65401793e+000, 8.40000000e+001, -7.00000000e+001, 4.57534363e+002
-3.65401793e+000, 8.40624924e+001, -7.00000000e+001, 4.56529327e+002
-4.06696415e+000, 8.40000000e+001, -7.00000000e+001, 4.58720337e+002
-4.06696415e+000, 8.40624924e+001, -7.00000000e+001, 4.57709106e+002
-4.47991085e+000, 8.40000000e+001, -7.00000000e+001, 4.59802124e+002
-4.47991085e+000, 8.40624924e+001, -7.00000000e+001, 4.58785278e+002
-4.89285707e+000, 8.40000000e+001, -7.00000000e+001, 4.60781433e+002
-4.89285707e+000, 8.40624924e+001, -7.00000000e+001, 4.59759369e+002
-5.30580378e+000, 8.40000000e+001, -7.00000000e+001, 4.61657471e+002
-5.30580378e+000, 8.40624924e+001, -7.00000000e+001, 4.60630219e+002
-5.71875000e+000, 8.40000000e+001, -7.00000000e+001, 4.62427673e+002
-5.71875000e+000, 8.40624924e+001, -7.00000000e+001, 4.61395142e+002
-6.13169622e+000, 8.40000000e+001, -7.00000000e+001, 4.63086517e+002
-6.13169622e+000, 8.40624924e+001, -7.00000000e+001, 4.62048309e+002
-6.54464293e+000, 8.40000000e+001, -7.00000000e+001, 4.63623657e+002
-6.54464293e+000, 8.40624924e+001, -7.00000000e+001, 4.62579193e+002
-6.95758915e+000, 8.40000000e+001, -7.00000000e+001, 4.64023102e+002
-6.95758915e+000, 8.40624924e+001, -7.00000000e+001, 4.62971710e+002
-7.37053537e+000, 8.40000000e+001, -7.00000000e+001, 4.64261505e+002
-7.37053537e+000, 8.40624924e+001, -7.00000000e+001, 4.63202209e+002
-7.78348207e+000, 8.40000000e+001, -7.00000000e+001, 4.64306458e+002
-7.78348207e+000, 8.40624924e+001, -7.00000000e+001, 4.63238129e+002
-8.19642925e+000, 8.40000000e+001, -7.00000000e+001, 4.64112427e+002
-8.19642925e+000, 8.40624924e+001, -7.00000000e+001, 4.63034119e+002
-8.60937500e+000, 8.40000000e+001, -7.00000000e+001, 4.63624420e+002
-8.60937500e+000, 8.40624924e+001, -7.00000000e+001, 4.62533813e+002
-9.02232170e+000, 8.40000000e+001, -7.00000000e+001, 4.62759125e+002
-9.02232170e+000, 8.40624924e+001, -7.00000000e+001, 4.61653534e+002
-9.43526840e+000, 8.40000000e+001, -7.00000000e+001, 4.61404633e+002
-9.43526840e+000, 8.40624924e+001, -7.00000000e+001, 4.60281128e+002
-9.84821415e+000, 8.40000000e+001, -7.00000000e+001, 4.59405243e+002
-9.84821415e+000, 8.40624924e+001, -7.00000000e+001, 4.58262421e+002
-1.02611599e+001, 8.40000000e+001, -7.00000000e+001, 4.56557343e+002
-1.02611599e+001, 8.40624924e+001, -7.00000000e+001, 4.55398529e+002
-1.06741076e+001, 8.40000000e+001, -7.00000000e+001, 4.52635345e+002
-1.06741076e+001, 8.40624924e+001, -7.00000000e+001, 4.51469543e+002
-1.20000000e+001, 8.40000000e+001, -7.00000000e+001, 4.29338165e+002
-1.20000000e+001, 8.39583359e+001, -7.00000000e+001, 4.30710693e+002
-1.20625010e+001, 8.39583359e+001, -7.00000000e+001, 4.29444183e+002
-1.20625010e+001, 8.40000000e+001, -7.00000000e+001, 4.27987671e+002
-1.19803362e+001, 8.40000000e+001, -7.00000000e+001, 4.29586578e+002
-1.20000000e+001, 8.40624924e+001, -7.00000000e+001, 4.27606079e+002
-1.19803362e+001, 8.40624924e+001, -7.00000000e+001, 4.28137329e+002
-1.20625010e+001, 8.40624924e+001, -7.00000000e+001, 4.25707367e+002
-1.20000000e+001, 8.39166641e+001, -7.00000000e+001, 4.32078766e+002
-1.20000000e+001, 8.38750000e+001, -7.00000000e+001, 4.33406738e+002
-1.20625010e+001, 8.38750000e+001, -7.00000000e+001, 4.32189667e+002
-1.20625010e+001, 8.39166641e+001, -7.00000000e+001, 4.30846161e+002
-1.20000000e+001, 8.35703735e+001, -7.00000000e+001, 4.41350403e+002
-1.20625010e+001, 8.35703735e+001, -7.00000000e+001, 4.40195129e+002
-1.16805372e+001, 8.40000000e+001, -7.00000000e+001, 4.36642059e+002
-1.16805372e+001, 8.40624924e+001, -7.00000000e+001, 4.35534790e+002
-1.17492924e+001, 8.40000000e+001, -7.00000000e+001, 4.35020020e+002
-1.17492924e+001, 8.40624924e+001, -7.00000000e+001, 4.33938965e+002
-1.18067894e+001, 8.40000000e+001, -7.00000000e+001, 4.33617340e+002
-1.18067894e+001, 8.40624924e+001, -7.00000000e+001, 4.32552734e+002
-1.18548708e+001, 8.40000000e+001, -7.00000000e+001, 4.32423645e+002
-1.18548708e+001, 8.40624924e+001, -7.00000000e+001, 4.31359924e+002
-1.18950796e+001, 8.40000000e+001, -7.00000000e+001, 4.31429199e+002
-1.18950796e+001, 8.40624924e+001, -7.00000000e+001, 4.30342651e+002
-1.19287033e+001, 8.40000000e+001, -7.00000000e+001, 4.30627533e+002
-1.19287033e+001, 8.40624924e+001, -7.00000000e+001, 4.29481323e+002
-1.19568224e+001, 8.40000000e+001, -7.00000000e+001, 4.30014374e+002
-1.19568224e+001, 8.40624924e+001, -7.00000000e+001, 4.28754211e+002
-1.21250000e+001, 8.39583359e+001, -7.00000000e+001, 4.27468811e+002
-1.21250000e+001, 8.40000000e+001, -7.00000000e+001, 4.25899139e+002
-1.24374990e+001, 8.39583359e+001, -7.00000000e+001, 4.07325928e+002
-1.24374990e+001, 8.40000000e+001, -7.00000000e+001, 4.05929016e+002
-1.21250000e+001, 8.40624924e+001, -7.00000000e+001, 4.23300903e+002
-1.24374990e+001, 8.40624924e+001, -7.00000000e+001, 4.03741394e+002
-1.21250000e+001, 8.38750000e+001, -7.00000000e+001, 4.30316559e+002
-1.21250000e+001, 8.39166641e+001, -7.00000000e+001, 4.28934418e+002
-1.24374990e+001, 8.38750000e+001, -7.00000000e+001, 4.09977234e+002
-1.24374990e+001, 8.39166641e+001, -7.00000000e+001, 4.08674713e+002
-1.21250000e+001, 8.35703735e+001, -7.00000000e+001, 4.38389313e+002
-1.24374990e+001, 8.35703735e+001, -7.00000000e+001, 4.18163971e+002
1.20000000e+001, 7.93056870e+001, -7.00000000e+001, 4.93645111e+002
1.20625010e+001, 7.93056870e+001, -7.00000000e+001, 4.92445526e+002
1.20625010e+001, 7.90010681e+001, -7.00000000e+001, 4.92347504e+002
